[12:10:58] 76561198966833121 - XllXllX has been given 5x RP
[12:33:39] 76561198886543733 - SmokeQc has been given 0x RP
[12:42:23] 76561198049629132 - Revolution Man has been given 5x RP
[01:33:38] 76561198886543733 - SmokeQc has been given 0x RP
[01:42:22] 76561198049629132 - Revolution Man has been given 5x RP
[01:46:42] 76561198886543733 - SmokeQc has been given 5x RP
[02:23:16] 76561199098596088 - Lane ghost has been given 5x RP
[02:33:38] 76561198807420307 - ogjoed has been given 0x RP
[02:35:18] 76561198814512065 - Deagleton has been given 1x RP
[02:35:18] 76561198814512065 - Deagleton has been given 1x RP
[02:35:19] 76561198814512065 - Deagleton has been given 1x RP
[02:35:19] 76561198814512065 - Deagleton has been given 1x RP
[02:35:19] 76561198814512065 - Deagleton has been given 1x RP
[02:35:19] 76561198814512065 - Deagleton has been given 1x RP
[02:35:20] 76561198814512065 - Deagleton has been given 1x RP
[02:35:20] 76561198814512065 - Deagleton has been given 1x RP
[02:35:20] 76561198814512065 - Deagleton has been given 1x RP
[02:35:20] 76561198814512065 - Deagleton has been given 1x RP
[02:42:45] 76561198807420307 - ogjoed has been given 5x RP
[02:58:14] 76561198852895608 - WeirdAl has been given 5x RP
[03:13:15] 76561198421090963 - Hannaht56 has been given 5x RP
[03:13:17] 76561198862944776 - 1_14l1 has been given 5x RP
[03:30:25] 76561199098596088 - Lane ghost has been given 5x RP
[03:42:45] 76561198807420307 - ogjoed has been given 5x RP
[03:58:14] 76561198852895608 - WeirdAl has been given 5x RP
[04:10:40] 76561198867613769 - RainbowMozzie has been given 5x RP
[04:13:14] 76561198421090963 - Hannaht56 has been given 5x RP
[04:16:17] 76561198862944776 - 1_14l1 has been given 5x RP
[04:40:20] 76561199098596088 - Lane ghost has been given 5x RP
[05:11:22] (offline)576578 has been given 0x RP
[05:29:40] 76561198867613769 - RainbowMozzie has been given 5x RP
[06:22:14] 76561198886543733 - SmokeQc has been given 5x RP
[03:47:26] 76561198867613769 - RainbowMozzie has been given 5x RP
[05:01:26] 76561198867613769 - RainbowMozzie has been given 5x RP
[05:16:47] 76561198814512065 - Deagleton has been given 5x RP
[05:23:14] 76561198886543733 - SmokeQc has been given 5x RP
[06:02:25] 76561198867613769 - RainbowMozzie has been given 5x RP
[06:10:47] 76561198814512065 - Deagleton has been given 1x RP
[06:10:48] 76561198814512065 - Deagleton has been given 1x RP
[06:10:48] 76561198814512065 - Deagleton has been given 1x RP
[06:10:48] 76561198814512065 - Deagleton has been given 1x RP
[06:10:48] 76561198814512065 - Deagleton has been given 1x RP
[06:10:49] 76561198814512065 - Deagleton has been given 1x RP
[06:10:49] 76561198814512065 - Deagleton has been given 1x RP
[06:10:49] 76561198814512065 - Deagleton has been given 1x RP
[06:10:49] 76561198814512065 - Deagleton has been given 1x RP
[06:10:49] 76561198814512065 - Deagleton has been given 1x RP
[06:10:49] 76561198814512065 - Deagleton has been given 1x RP
[06:10:49] 76561198814512065 - Deagleton has been given 1x RP
[06:10:49] 76561198814512065 - Deagleton has been given 1x RP
[06:10:49] 76561198814512065 - Deagleton has been given 1x RP
[06:10:50] 76561198814512065 - Deagleton has been given 1x RP
[06:10:50] 76561198814512065 - Deagleton has been given 1x RP
[06:10:50] 76561198814512065 - Deagleton has been given 1x RP
[06:10:50] 76561198814512065 - Deagleton has been given 1x RP
[06:10:50] 76561198814512065 - Deagleton has been given 1x RP
[06:10:50] 76561198814512065 - Deagleton has been given 1x RP
[06:10:50] 76561198814512065 - Deagleton has been given 1x RP
[06:10:51] 76561198814512065 - Deagleton has been given 1x RP
[06:10:51] 76561198814512065 - Deagleton has been given 1x RP
[06:10:51] 76561198814512065 - Deagleton has been given 1x RP
[06:10:51] 76561198814512065 - Deagleton has been given 1x RP
[06:10:51] 76561198814512065 - Deagleton has been given 1x RP
[06:10:51] 76561198814512065 - Deagleton has been given 1x RP
[06:10:51] 76561198814512065 - Deagleton has been given 1x RP
[06:10:52] 76561198814512065 - Deagleton has been given 1x RP
[06:10:52] 76561198814512065 - Deagleton has been given 1x RP
[06:10:52] 76561198814512065 - Deagleton has been given 1x RP
[06:10:52] 76561198814512065 - Deagleton has been given 1x RP
[06:10:52] 76561198814512065 - Deagleton has been given 1x RP
[06:10:52] 76561198814512065 - Deagleton has been given 1x RP
[06:10:52] 76561198814512065 - Deagleton has been given 1x RP
[06:10:53] 76561198814512065 - Deagleton has been given 1x RP
[06:10:53] 76561198814512065 - Deagleton has been given 1x RP
[06:10:53] 76561198814512065 - Deagleton has been given 1x RP
[06:10:53] 76561198814512065 - Deagleton has been given 1x RP
[06:10:53] 76561198814512065 - Deagleton has been given 1x RP
[06:10:53] 76561198814512065 - Deagleton has been given 1x RP
[06:10:54] 76561198814512065 - Deagleton has been given 1x RP
[06:10:54] 76561198814512065 - Deagleton has been given 1x RP
[06:10:54] 76561198814512065 - Deagleton has been given 1x RP
[06:10:54] 76561198814512065 - Deagleton has been given 1x RP
[06:10:54] 76561198814512065 - Deagleton has been given 1x RP
[06:10:54] 76561198814512065 - Deagleton has been given 1x RP
[06:10:54] 76561198814512065 - Deagleton has been given 1x RP
[06:10:54] 76561198814512065 - Deagleton has been given 1x RP
[06:10:55] 76561198814512065 - Deagleton has been given 1x RP
[06:10:55] 76561198814512065 - Deagleton has been given 1x RP
[06:10:55] 76561198814512065 - Deagleton has been given 1x RP
[06:10:55] 76561198814512065 - Deagleton has been given 1x RP
[06:10:55] 76561198814512065 - Deagleton has been given 1x RP
[06:10:55] 76561198814512065 - Deagleton has been given 1x RP
[06:10:55] 76561198814512065 - Deagleton has been given 1x RP
[06:10:55] 76561198814512065 - Deagleton has been given 1x RP
[06:10:56] 76561198814512065 - Deagleton has been given 1x RP
[06:10:56] 76561198814512065 - Deagleton has been given 1x RP
[06:10:56] 76561198814512065 - Deagleton has been given 1x RP
[06:10:56] 76561198814512065 - Deagleton has been given 1x RP
[06:10:56] 76561198814512065 - Deagleton has been given 1x RP
[06:10:57] 76561198814512065 - Deagleton has been given 1x RP
[06:10:57] 76561198814512065 - Deagleton has been given 1x RP
[06:10:57] 76561198814512065 - Deagleton has been given 1x RP
[06:10:57] 76561198814512065 - Deagleton has been given 1x RP
[06:10:57] 76561198814512065 - Deagleton has been given 1x RP
[06:10:57] 76561198814512065 - Deagleton has been given 1x RP
[06:10:57] 76561198814512065 - Deagleton has been given 1x RP
[06:10:57] 76561198814512065 - Deagleton has been given 1x RP
[06:10:57] 76561198814512065 - Deagleton has been given 1x RP
[06:10:57] 76561198814512065 - Deagleton has been given 1x RP
[06:10:58] 76561198814512065 - Deagleton has been given 1x RP
[06:10:58] 76561198814512065 - Deagleton has been given 1x RP
[06:10:58] 76561198814512065 - Deagleton has been given 1x RP
[06:10:58] 76561198814512065 - Deagleton has been given 1x RP
[06:10:58] 76561198814512065 - Deagleton has been given 1x RP
[06:10:58] 76561198814512065 - Deagleton has been given 1x RP
[06:10:58] 76561198814512065 - Deagleton has been given 1x RP
[06:10:58] 76561198814512065 - Deagleton has been given 1x RP
[06:10:58] 76561198814512065 - Deagleton has been given 1x RP
[06:10:58] 76561198814512065 - Deagleton has been given 1x RP
[06:10:59] 76561198814512065 - Deagleton has been given 1x RP
[06:10:59] 76561198814512065 - Deagleton has been given 1x RP
[06:10:59] 76561198814512065 - Deagleton has been given 1x RP
[06:10:59] 76561198814512065 - Deagleton has been given 1x RP
[06:10:59] 76561198814512065 - Deagleton has been given 1x RP
[06:10:59] 76561198814512065 - Deagleton has been given 1x RP
[06:10:59] 76561198814512065 - Deagleton has been given 1x RP
[06:11:00] 76561198814512065 - Deagleton has been given 1x RP
[06:11:00] 76561198814512065 - Deagleton has been given 1x RP
[06:11:00] 76561198814512065 - Deagleton has been given 1x RP
[06:11:00] 76561198814512065 - Deagleton has been given 1x RP
[06:11:00] 76561198814512065 - Deagleton has been given 1x RP
[06:11:00] 76561198814512065 - Deagleton has been given 1x RP
[06:11:00] 76561198814512065 - Deagleton has been given 1x RP
[06:11:00] 76561198814512065 - Deagleton has been given 1x RP
[06:11:01] 76561198814512065 - Deagleton has been given 1x RP
[06:11:01] 76561198814512065 - Deagleton has been given 1x RP
[06:11:01] 76561198814512065 - Deagleton has been given 1x RP
[06:11:01] 76561198814512065 - Deagleton has been given 1x RP
[06:11:01] 76561198814512065 - Deagleton has been given 1x RP
[06:11:01] 76561198814512065 - Deagleton has been given 1x RP
[06:11:01] 76561198814512065 - Deagleton has been given 1x RP
[06:11:01] 76561198814512065 - Deagleton has been given 1x RP
[06:11:02] 76561198814512065 - Deagleton has been given 1x RP
[06:11:02] 76561198814512065 - Deagleton has been given 1x RP
[06:11:02] 76561198814512065 - Deagleton has been given 1x RP
[06:11:02] 76561198814512065 - Deagleton has been given 1x RP
[06:11:02] 76561198814512065 - Deagleton has been given 1x RP
[06:11:02] 76561198814512065 - Deagleton has been given 1x RP
[06:11:02] 76561198814512065 - Deagleton has been given 1x RP
[06:11:02] 76561198814512065 - Deagleton has been given 1x RP
[06:11:02] 76561198814512065 - Deagleton has been given 1x RP
[06:11:02] 76561198814512065 - Deagleton has been given 1x RP
[06:11:03] 76561198814512065 - Deagleton has been given 1x RP
[06:11:03] 76561198814512065 - Deagleton has been given 1x RP
[06:11:03] 76561198814512065 - Deagleton has been given 1x RP
[06:11:03] 76561198814512065 - Deagleton has been given 1x RP
[06:11:03] 76561198814512065 - Deagleton has been given 1x RP
[06:11:03] 76561198814512065 - Deagleton has been given 1x RP
[06:11:03] 76561198814512065 - Deagleton has been given 1x RP
[06:11:03] 76561198814512065 - Deagleton has been given 1x RP
[06:11:03] 76561198814512065 - Deagleton has been given 1x RP
[06:11:03] 76561198814512065 - Deagleton has been given 1x RP
[06:11:04] 76561198814512065 - Deagleton has been given 1x RP
[06:11:04] 76561198814512065 - Deagleton has been given 1x RP
[06:11:04] 76561198814512065 - Deagleton has been given 1x RP
[06:11:04] 76561198814512065 - Deagleton has been given 1x RP
[06:11:04] 76561198814512065 - Deagleton has been given 1x RP
[06:11:04] 76561198814512065 - Deagleton has been given 1x RP
[06:11:04] 76561198814512065 - Deagleton has been given 1x RP
[06:11:04] 76561198814512065 - Deagleton has been given 1x RP
[06:11:04] 76561198814512065 - Deagleton has been given 1x RP
[06:11:05] 76561198814512065 - Deagleton has been given 1x RP
[06:11:05] 76561198814512065 - Deagleton has been given 1x RP
[06:11:05] 76561198814512065 - Deagleton has been given 1x RP
[06:11:05] 76561198814512065 - Deagleton has been given 1x RP
[06:11:05] 76561198814512065 - Deagleton has been given 1x RP
[06:11:06] 76561198814512065 - Deagleton has been given 1x RP
[06:11:06] 76561198814512065 - Deagleton has been given 1x RP
[06:11:06] 76561198814512065 - Deagleton has been given 1x RP
[06:11:06] 76561198814512065 - Deagleton has been given 1x RP
[06:11:06] 76561198814512065 - Deagleton has been given 1x RP
[06:11:06] 76561198814512065 - Deagleton has been given 1x RP
[06:11:07] 76561198814512065 - Deagleton has been given 1x RP
[06:11:07] 76561198814512065 - Deagleton has been given 1x RP
[06:11:07] 76561198814512065 - Deagleton has been given 1x RP
[06:11:07] 76561198814512065 - Deagleton has been given 1x RP
[06:11:07] 76561198814512065 - Deagleton has been given 1x RP
[06:11:07] 76561198814512065 - Deagleton has been given 1x RP
